date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:38	2037882/2037882	---M--	200	added ('OK')	image/png	etag:%221f187a-54b2454aad0b9%22	http://songdos.com/img/totalbg.png	C:/My%20Web%20Sites/uncle/songdos.com/img/totalbg.png	(from http://songdos.com/css/index.css)
02:16:38	1195/1195	---M--	200	added ('OK')	image/png	etag:%224ab-54b2452f715d9%22	http://songdos.com/intro/img/map_icon1.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/map_icon1.png	(from http://songdos.com/intro/map.php)
02:16:38	4851/4851	---M--	200	added ('OK')	image/png	etag:%2212f3-54b2452f7b9e9%22	http://songdos.com/intro/img/map_title.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/map_title.png	(from http://songdos.com/intro/map.php)
02:16:39	3409/3409	---M--	200	added ('OK')	image/png	etag:%22d51-54b2452f73ce9%22	http://songdos.com/intro/img/map_icon2.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/map_icon2.png	(from http://songdos.com/intro/map.php)
02:16:39	432/432	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Nov%202021%2004:32:03%20GMT	http://dmaps.daum.net/map_js_init/roughmapLoader.js	C:/My%20Web%20Sites/uncle/dmaps.daum.net/map_js_init/roughmapLoader.js	(from http://songdos.com/intro/map.php)
02:16:39	3461/3461	---M--	200	added ('OK')	image/png	etag:%22d85-54b2452f75c29%22	http://songdos.com/intro/img/map_icon3.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/map_icon3.png	(from http://songdos.com/intro/map.php)
02:16:40	3505/3505	---M--	200	added ('OK')	image/png	etag:%22db1-54b2452f77b69%22	http://songdos.com/intro/img/map_icon4.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/map_icon4.png	(from http://songdos.com/intro/map.php)
02:16:42	9958/9958	---M--	200	added ('OK')	image/png	etag:%2226e6-54b2452f8b3e9%22	http://songdos.com/intro/img/tab_01.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/tab_01.png	(from http://songdos.com/intro/strat.php)
02:16:42	16744/16744	---M--	200	added ('OK')	image/png	etag:%224168-5cb5110bbfa4b%22	http://songdos.com/intro/img/map_icon5.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/map_icon5.png	(from http://songdos.com/intro/map.php)
02:16:43	6654/6654	---M--	200	added ('OK')	image/png	etag:%2219fe-54b2452f80bf1%22	http://songdos.com/intro/img/strat_title.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/strat_title.png	(from http://songdos.com/intro/strat.php)
02:16:43	9640/9640	---M--	200	added ('OK')	image/png	etag:%2225a8-54b2452f8ea99%22	http://songdos.com/intro/img/tab_02.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/tab_02.png	(from http://songdos.com/intro/strat.php)
02:16:45	1130001/1130001	---M--	200	added ('OK')	image/png	etag:%22113e11-54b2454adce59%22	http://songdos.com/device/img/img_device01.png	C:/My%20Web%20Sites/uncle/songdos.com/device/img/img_device01.png	(from http://songdos.com/device/device01.php)
02:16:46	4761/4761	---M--	200	added ('OK')	image/png	etag:%221299-54b2452f894a9%22	http://songdos.com/intro/img/table_title.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/table_title.png	(from http://songdos.com/intro/table.php)
02:17:05	117223/117223	---M--	200	added ('OK')	image/png	etag:%221c9e7-5d325a4d5b6c9%22	http://songdos.com/intro/img/table.png	C:/My%20Web%20Sites/uncle/songdos.com/intro/img/table.png	(from http://songdos.com/intro/table.php)
02:17:06	3788/3788	---M--	200	added ('OK')	image/png	etag:%22ecc-54b2454b09549%22	http://songdos.com/device/img/tit_device02.png	C:/My%20Web%20Sites/uncle/songdos.com/device/img/tit_device02.png	(from http://songdos.com/device/device02.php)
